latitude,longitude,Units,Construction Year,Type,Area,Floors,Height
45.503252,-73.55668399999998,1.0,1904.0,residential,17.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,9.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,9.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,14.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,16.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,18.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,9.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,9.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,15.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,16.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,18.0,1.0,7.5
45.5045815,-73.562839,2.0,1870.0,residential,213.0,3.0,22.5
45.503252,-73.55668399999998,1.0,1904.0,residential,9.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,11.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,15.0,1.0,7.5
45.503252,-73.55668399999998,1.0,1904.0,residential,17.0,1.0,7.5
45.504204,-73.5621699,1.0,1870.0,residential,234.0,3.0,22.5
45.50269160000001,-73.5557108,8.0,1870.0,residential,279.0,5.0,37.5
45.50897370000001,-73.5728085,2.0,1875.0,residential,211.0,3.0,22.5
45.5089966,-73.57295649999998,5.0,1880.0,residential,208.0,4.0,30.0
45.509181,-73.57327169999998,2.0,1900.0,residential,251.0,3.0,22.5
45.5091259,-73.5734417,6.0,1900.0,residential,251.0,3.0,22.5
45.5092589,-73.57344590000002,12.0,1900.0,residential,261.0,3.0,22.5
45.51076920000001,-73.5767485,2.0,1900.0,residential,181.0,2.0,15.0
45.5109226,-73.5770696,1.0,1900.0,residential,242.0,3.0,22.5
45.5109815,-73.5771912,1.0,1900.0,residential,83.0,1.0,7.5
45.51007070000001,-73.5756385,1351.0,1977.0,residential,15201.0,33.0,247.5
45.5094704,-73.5729649,6.0,1900.0,residential,341.0,4.0,30.0
45.5092305,-73.5727172,2.0,1987.0,residential,434.0,2.0,15.0
45.5092101,-73.57260550000002,5.0,1900.0,residential,612.0,3.0,22.5
45.5090049,-73.57234040000002,4.0,1900.0,residential,632.0,3.0,22.5
45.5048222,-73.56260909999997,1.0,1870.0,residential,118.0,2.0,15.0
45.504886,-73.5626994,1.0,1870.0,residential,118.0,2.0,15.0
45.50489899999999,-73.56274400000002,2.0,1870.0,residential,118.0,2.0,15.0
