url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/commercial-units~for-rent~la-malbaie/25051230?view=Summary&uc=2,47.65843607,-70.12038862,https://mspublic.centris.ca/media.ashx?id=ADDD250D4345433D105CDE5D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,850 sqft,856 sqft,Office (1),,,,,,,,,,,
https://www.centris.ca/en/industrial-buildings~for-rent~mirabel/18196360?view=Summary&uc=2,45.711503,-73.938818,https://mspublic.centris.ca/media.ashx?id=ADDD250D212C718D11E80BBD1F&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,,"2,769 sqft","2,769 sqft",Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/22338910?view=Summary&uc=2,45.52664,-73.588344,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D50162D1EC33E5D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"Under construction, New","3,329 sqft","3,329 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/28541604?view=Summary,45.50364996,-73.55835353,https://mspublic.centris.ca/media.ashx?id=ADDD250D4868A6FD192B48CD14&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,"Beauty salon, Hairdresser",,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/22413920?view=Summary,45.514084,-73.564163,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D5FE84D1EAD4ADD11&t=pi&w=1024&h=1024&sm=c,Commercial only,1991,"From 684 sqft to 1,481 sqft",,Commercial (2),,,,,,,,"Hairdresser, Coffee/Donuts",,,
https://www.centris.ca/en/commercial-units~for-rent~la-baie-saguenay/14715653?view=Summary&uc=2,48.328568,-70.878294,https://mspublic.centris.ca/media.ashx?id=ADDD250D4744E9EDD5DB9DED1F&t=pi&w=1024&h=1024&sm=c,Offices only,,"2,673 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-buildings~for-rent~l-ile-perrot/14220585?view=Summary&uc=2,45.39394539,-73.95892413,https://mspublic.centris.ca/media.ashx?id=ADDD250D21D2E6CDD3B634FD12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,900 sqft","1,900 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~val-d-or/12796753?view=Summary&uc=2,48.101203,-77.778477,https://mspublic.centris.ca/media.ashx?id=ADDD250D432E1D7DD72C2E1D1F&t=pi&w=1024&h=1024&sm=c,Offices only,,"2,013 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/14193787?view=Summary,45.501156,-73.553646,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DC0273DD3BFC09D1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1840,"3,966 sqft","6,004 sqft",Office (1),,"2,743 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/9572710?view=Summary,45.51649,-73.566077,https://mspublic.centris.ca/media.ashx?id=ADDD250D211195ADDF411AAD1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"1900, Historic","5,899 sqft","3,401 sqft","Residential (2), Commercial (1)",,"2,003 sqft",,,,,,Bar,,,
