url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/commercial-units~for-rent~nicolet/18445892?view=Summary&uc=2,46.244867,-72.583886,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D4A93BD11F0ACCD12&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,2009,"From 1,500 sqft to 4,500 sqft",,Commercial (2),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~victoriaville/20041388?view=Summary&uc=2,46.069211,-71.964923,https://mspublic.centris.ca/media.ashx?id=ADDD250D4550A33D1217587D14&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,,832 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jerome/18428371?view=Summary&uc=2,45.77588848,-74.00139646,https://mspublic.centris.ca/media.ashx?id=ADDD250D212DDB2D11F2132D1D&t=pi&w=1024&h=1024&sm=c,Commercial and residential,,"6,000 sqft",,Commercial (1),,"19,713 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~lasalle-montreal/10809869?view=Summary&uc=2,45.42534752,-73.61281322,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D7A0A1DD8C64D3D11&t=pi&w=1024&h=1024&sm=c,Commercial only,,"From 2,136 sqft to 4,343 sqft",,Commercial (2),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~sainte-foy-sillery-cap-rouge-quebec/13363846?view=Summary&uc=2,46.776543,-71.296128,https://mspublic.centris.ca/media.ashx?id=ADDD250D4E626E7DD7958BAD11&t=pi&w=1024&h=1024&sm=c,Commercial only,2014,"1,600 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/20727706?view=Summary,45.536548,-73.561008,https://mspublic.centris.ca/media.ashx?id=ADDD250D463E878D127C0F8D1A&t=pi&w=1024&h=1024&sm=c,Residential only,1930,,"1,820 sqft",Residential (11),,"2,430 sqft",,"5 x 3 ½, 4 x 4 ½, 1 x 6 ½, 1 x Loft/Studio",,"$91,020",,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/23943725?view=Summary,45.502139,-73.557353,https://mspublic.centris.ca/media.ashx?id=ADDD250D46CB522D1A3E843D1B&t=pi&w=1024&h=1024&sm=c,Commercial and residential,"1925, Historic","2,522 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/triplexes~for-sale~ville-marie-montreal/24508651?view=Summary,45.528171,-73.561896,https://mspublic.centris.ca/media.ashx?id=ADDD250D4631277D10E6B59D14&t=pi&w=1024&h=1024&sm=c,Residential only,1915,,,Residential (3),Attached,"1,181 sqft",,3 x 3 ½,"3 rooms, 1 bedroom, 1 bathroom/powder room","$30,900",,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~howick/24062463?view=Summary&uc=2,45.18795642,-73.8484008,https://mspublic.centris.ca/media.ashx?id=ADDD250D45CD739D1A64F66D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"5,210 sqft","5,210 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/9987480?view=Summary,45.515274,-73.563427,https://mspublic.centris.ca/media.ashx?id=ADDD250D211D710DDFBAEFBD11&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/17740457?view=Summary,45.51808935,-73.56417317,https://mspublic.centris.ca/media.ashx?id=ADDD250D4456A66D1D5948FD1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1939,"3,595 sqft","3,595 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/14588956?view=Summary,45.53217041,-73.56231934,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D0D28CDD35F717D10&t=pi&w=1024&h=1024&sm=c,Residential only,1960,,"6,698 sqft",Residential (23),,"3,412 sqft","Driveway (2), Garage (2)","12 x 1 ½, 3 x 2 ½, 8 x Bedroom",,"$156,720",,,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/15137790?view=Summary&uc=2,45.67238754,-73.93311187,https://mspublic.centris.ca/media.ashx?id=ADDD250D4A3C2C6DD5A6965D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"To be built, New","1,630 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~la-haute-saint-charles-quebec/9198469?view=Summary&uc=2,46.85508954,-71.41441537,https://mspublic.centris.ca/media.ashx?id=ADDD250D211364BDDB7E9BED1C&t=pi&w=1024&h=1024&sm=c,Commercial only,"Under construction, New","2,200 sqft","2,200 sqft",Commercial (1),,"22,620 sqft",,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/17214548?view=Summary,45.51607466,-73.55857381,https://mspublic.centris.ca/media.ashx?id=ADDD250D45660B9D1DA87ECD1A&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,"Fast food, Restaurant",,,
https://www.centris.ca/en/commercial-units~for-rent~windsor/16996774?view=Summary&uc=2,45.569788,-72.003731,https://mspublic.centris.ca/media.ashx?id=ADDD250D47D0308D1D2EF8AD10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"4,234 sqft","4,234 sqft",Commercial (1),,"10,560 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~vimont-laval/27786058?view=Summary&uc=2,45.61283665,-73.73718739,https://mspublic.centris.ca/media.ashx?id=ADDD250D4E4D7CBD18069C8D1D&t=pi&w=1024&h=1024&sm=c,Offices only,,"From 874 sqft to 7,939 sqft",,Office (5),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~cantley/16704991?view=Summary&uc=2,45.53890027,-75.77173092,https://mspublic.centris.ca/media.ashx?id=ADDD250D45B5F84DD655E36D1E&t=pi&w=1024&h=1024&sm=c,Commercial only,,"2,000 sqft",,Commercial (1),,,,,,,,Fast food,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/9277825?view=Summary&uc=2,45.6963794,-73.93643703,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D0C4B1DDB3F1B1D1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"To be built, New","8,232 sqft","8,232 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~fleurimont-sherbrooke/12970529?view=Summary&uc=2,45.403725,-71.876792,https://mspublic.centris.ca/media.ashx?id=ADDD250D4F787FBDD7E5841D14&t=pi&w=1024&h=1024&sm=c,Offices only,,From 80 sqft to 298 sqft,,Office (3),,,,,,,,"Travel agency, Real estate agency, Arts and Crafts, Office, Massotherapy, Locksmith",,,
https://www.centris.ca/en/commercial-units~for-rent~la-cite-limoilou-quebec/17887619?view=Summary&uc=2,46.80561736,-71.22467468,https://mspublic.centris.ca/media.ashx?id=ADDD250D43BCAE3D11D61B2D1E&t=pi&w=1024&h=1024&sm=c,Commercial only,1910,"2,006 sqft","1,045 sqft",Commercial (1),,858 sqft,,,,,,Massotherapy,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/13703881?view=Summary,45.52979307,-73.54554354,https://mspublic.centris.ca/media.ashx?id=ADDD250D4514958DD31187FD12&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Bar,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/25571722?view=Summary,45.49531489,-73.57259387,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DCC4DAD1BA21B8D10&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,shipping franchise,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/23903529?view=Summary,45.51134773,-73.56659308,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DF80B3D1A7934FD12&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Beauty salon,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/13140861?view=Summary,45.50015012,-73.55882611,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D49346DD7BB203D1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2014,"1,790 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~beloeil/28869984?view=Summary&uc=2,45.56429403,-73.20433238,https://mspublic.centris.ca/media.ashx?id=ADDD250D46EFADAD19BBEADD1D&t=pi&w=1024&h=1024&sm=c,Commercial only,1960,52 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/industrial-units~for-rent~magog/15534356?view=Summary&uc=2,45.27559833,-72.11431311,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A1364DD53DF1CD11&t=pi&w=1024&h=1024&sm=c,Industrial only,1999,"6,000 sqft",,Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/10099616?view=Summary,45.518857,-73.559786,https://mspublic.centris.ca/media.ashx?id=ADDD250D4775618DDF8198DD10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1988,"1,128 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/19569340?view=Summary&uc=2,45.503852,-73.557657,https://mspublic.centris.ca/media.ashx?id=ADDD250D46F7DEDD148F897D1C&t=pi&w=1024&h=1024&sm=c,Offices only,1937,"1,315 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/triplexes~for-sale~ville-marie-montreal/17989903?view=Summary,45.534697,-73.558049,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DF4B64D114B1D6D1E&t=pi&w=1024&h=1024&sm=c,Residential only,1910,,,Residential (3),Attached,"1,784 sqft",Driveway (2),3 x 5 ½,"5 rooms, 3 bedrooms, 1 bathroom/powder room","$32,760",,,,,
https://www.centris.ca/en/5plex~for-sale~ville-marie-montreal/21533543?view=Summary,45.5287,-73.560384,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DF81D8D1CBF2A0D1F&t=pi&w=1024&h=1024&sm=c,Residential only,1922,,,Residential (5),Attached,"2,520 sqft",Driveway (2),"4 x 4 ½, 1 x 6 ½","4 rooms, 1 bedroom, 1 bathroom/powder room","$58,080",,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/14912851?view=Summary,45.505738,-73.55826,https://mspublic.centris.ca/media.ashx?id=ADDD250D45C06E3DD52B3E2D1E&t=pi&w=1024&h=1024&sm=c,Commercial only,"1932, Historic","1,600 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/23600921?view=Summary,45.502835,-73.570147,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A63E9D1AB161FD1C&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Fast food,,,
https://www.centris.ca/en/commercial-units~for-rent~trois-rivieres/16431939?view=Summary&uc=2,46.361937,-72.532107,https://mspublic.centris.ca/media.ashx?id=ADDD250D4603E42DD6899C2D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,"7,100 sqft","7,100 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~rosemont-la-petite-patrie-montreal/19006612?view=Summary&uc=2,45.53243247,-73.61365637,https://mspublic.centris.ca/media.ashx?id=ADDD250D460A24AD144DCFCD1C&t=pi&w=1024&h=1024&sm=c,Commercial only,,"2,000 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/11630645?view=Summary&uc=2,45.52228376,-73.5614193,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D1712EDD910B2ED1B&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"Under construction, New",814 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~farnham/26719337?view=Summary&uc=2,45.28358373,-72.97925689,https://mspublic.centris.ca/media.ashx?id=ADDD250D4499DC2D1F09CAFD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2008,583 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~chicoutimi-saguenay/12895308?view=Summary&uc=2,48.4278,-71.057548,https://mspublic.centris.ca/media.ashx?id=ADDD250D4D1D457DD7C7CC7D1B&t=pi&w=1024&h=1024&sm=c,Commercial only,,900 sqft,900 sqft,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-eustache/28495407?view=Summary&uc=2,45.5716254,-73.91670946,https://mspublic.centris.ca/media.ashx?id=ADDD250D21431B6D1947546D1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"To be built, New","3,102 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~val-d-or/28451566?view=Summary&uc=2,48.10478317,-77.80731418,https://mspublic.centris.ca/media.ashx?id=ADDD250D49BF542D1944455D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"3,200 sqft",,Commercial (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~magog/10771062?view=Summary&uc=2,45.27761391,-72.12880244,https://mspublic.centris.ca/media.ashx?id=ADDD250D4538160DD8CE80AD1D&t=pi&w=1024&h=1024&sm=c,Offices only,,"4,900 sqft","4,900 sqft",Commercial (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~mont-tremblant/19709787?view=Summary&uc=2,46.122625,-74.592616,https://mspublic.centris.ca/media.ashx?id=ADDD250D4ABDD30D14796E9D14&t=pi&w=1024&h=1024&sm=c,Offices only,Unknown age,143 sqft,,Office (1),,,,,,,,Professional ,,,
https://www.centris.ca/en/commercial-units~for-rent~blainville/22303085?view=Summary&uc=2,45.67372824,-73.90205965,https://mspublic.centris.ca/media.ashx?id=ADDD250D45BC087D1ECE1A3D1C&t=pi&w=1024&h=1024&sm=c,Offices only,"To be built, New","From 3,050 sqft to 6,100 sqft","6,100 sqft",Office (2),,,,,,,,,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/19989113?view=Summary,45.5332682,-73.56157356,https://mspublic.centris.ca/media.ashx?id=ADDD250D470C793D121D40FD1A&t=pi&w=1024&h=1024&sm=c,Residential only,1955,,,Residential (16),,"4,264 sqft",,"8 x 3 ½, 8 x 4 ½",,"$130,440",,,Basement 6 feet or +,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/26883830?view=Summary,45.49670993,-73.57490118,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A0977D1F82A6AD1B&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jerome/11555808?view=Summary&uc=2,45.75494821,-74.01939869,https://mspublic.centris.ca/media.ashx?id=ADDD250D4A9BD13DD9DE25DD1A&t=pi&w=1024&h=1024&sm=c,Offices only,,135 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/10743888?view=Summary,45.49472164,-73.57834247,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DDA661DD826DEDD1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~mercier-hochelaga-maisonneuve-montreal/18870647?view=Summary&uc=2,45.55205969,-73.53993205,https://mspublic.centris.ca/media.ashx?id=ADDD250D45FD301D1166100D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"1918, Century","2,500 sqft",,Commercial (1),,"4,500 sqft",,,,,,Other,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/14127916?view=Summary,45.495295,-73.5737,https://mspublic.centris.ca/media.ashx?id=ADDD250D479AFD0DD30F247D1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/11328407?view=Summary&uc=2,45.521303,-73.577642,https://mspublic.centris.ca/media.ashx?id=ADDD250D4641162DD8739F0D10&t=pi&w=1024&h=1024&sm=c,Commercial only,Unknown age,"2,500 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/15585784?view=Summary,45.5013128,-73.55560812,https://mspublic.centris.ca/media.ashx?id=ADDD250D43B6E3FDD53316BD14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"1907, Century","2,675 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~rosemont-la-petite-patrie-montreal/13306846?view=Summary&uc=2,45.538318,-73.607526,https://mspublic.centris.ca/media.ashx?id=ADDD250D4550C1DDD79D935D1A&t=pi&w=1024&h=1024&sm=c,Commercial only,1910,"5,280 sqft",,Commercial (1),,,,,,,,Boutique,,,
https://www.centris.ca/en/multi-family-properties~for-sale~ville-marie-montreal/19423066?view=Summary,45.51925993,-73.55729688,https://mspublic.centris.ca/media.ashx?id=ADDD250D4589E3DD14BE6E8D10&t=pi&w=1024&h=1024&sm=c,Residential only,1920,,"2,160 sqft",Residential (8),,"4,443 sqft",Driveway (3),"3 x 3 ½, 1 x 4 ½, 1 x 5 ½, 3 x 6 ½","3 rooms, 1 bedroom, 1 bathroom/powder room","$149,160",,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jerome/22613587?view=Summary&uc=2,45.77597079,-74.00141791,https://mspublic.centris.ca/media.ashx?id=ADDD250D2146695D1EFD5E2D10&t=pi&w=1024&h=1024&sm=c,Commercial and residential,,"2,500 sqft",,Commercial (1),,"19,713 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~l-assomption/15712400?view=Summary&uc=2,45.82201005,-73.43111084,https://mspublic.centris.ca/media.ashx?id=ADDD250D2112D85DD567DFDD11&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,885 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/11015019?view=Summary,45.50294518,-73.56778345,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D88841DD8B12A9D1C&t=pi&w=1024&h=1024&sm=c,Commercial only,"2018, New","3,117 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/9089610?view=Summary,45.50669269,-73.5704158,https://mspublic.centris.ca/media.ashx?id=ADDD250D4696146DDB894C8D1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/24242366?view=Summary&uc=2,45.67970816,-73.92895271,https://mspublic.centris.ca/media.ashx?id=ADDD250D47DC572D1015B95D1F&t=pi&w=1024&h=1024&sm=c,Commercial only,2016,240 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~la-prairie/19435702?view=Summary&uc=2,45.40871706,-73.4953361,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D7DAC3D14BFD9AD1D&t=pi&w=1024&h=1024&sm=c,Commercial only,2016,941 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~beauharnois/22398835?view=Summary&uc=2,45.309172,-73.86258,https://mspublic.centris.ca/media.ashx?id=ADDD250D4668F91D1EE7002D14&t=pi&w=1024&h=1024&sm=c,Commercial only,,962 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/25186100?view=Summary,45.508015,-73.571483,https://mspublic.centris.ca/media.ashx?id=ADDD250D4E6D2CCD1BDC62CD1A&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/duplexes~for-sale~ville-marie-montreal/26374805?view=Summary,45.51908142,-73.56403905,https://mspublic.centris.ca/media.ashx?id=ADDD250D46717D7D1F404FED11&t=pi&w=1024&h=1024&sm=c,Residential only,1875,,,Residential (2),Semi-detached,,,"1 x 1 ½, 1 x Other","15 rooms, 9 bedrooms, 2 bathrooms/powder rooms","$72,000",,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-units~for-rent~cote-saint-luc/27818435?view=Summary&uc=2,45.47057643,-73.66521236,https://mspublic.centris.ca/media.ashx?id=ADDD250D47BF68AD18B0F72D11&t=pi&w=1024&h=1024&sm=c,Offices only,1985,700 sqft,,Commercial (1),,"73,049 sqft",,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~granby/20115302?view=Summary&uc=2,45.42108988,-72.74802044,https://mspublic.centris.ca/media.ashx?id=ADDD250D455DD77D12456AAD10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2004,"3,700 sqft",,Commercial (1),,"166,613 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~lachute/18889825?view=Summary&uc=2,45.66132097,-74.34836425,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D8E226D14D27A1D1F&t=pi&w=1024&h=1024&sm=c,Commercial only,1956,"1,200 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jean-sur-richelieu/21503451?view=Summary&uc=2,45.306194,-73.278774,https://mspublic.centris.ca/media.ashx?id=ADDD250D21D953AD1CB1339D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1981,"2,158 sqft","14,928 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/13629386?view=Summary,45.527078,-73.54852,https://mspublic.centris.ca/media.ashx?id=ADDD250D468B1F3DD766078D1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/19499642?view=Summary,45.506378,-73.570608,https://mspublic.centris.ca/media.ashx?id=ADDD250D46F5E81D14FB808D14&t=pi&w=1024&h=1024&sm=c,Commercial only,2007,"1,980 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~sorel-tracy/16396279?view=Summary&uc=2,46.04401,-73.104732,https://mspublic.centris.ca/media.ashx?id=ADDD250D212ED32DD684660D11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"2,788 sqft","2,788 sqft",Commercial (1),,,,,,,,Other,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jean-sur-richelieu/25676987?view=Summary&uc=2,45.316329,-73.264344,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D2C4A6D1B07799D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"16,673 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~rigaud/22016970?view=Summary&uc=2,45.480033,-74.30516,https://mspublic.centris.ca/media.ashx?id=ADDD250D4720F9DD1C66278D1D&t=pi&w=1024&h=1024&sm=c,Commercial only,,"2,000 sqft","1,000 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~les-rivieres-quebec/11976050?view=Summary&uc=2,46.820449,-71.316946,https://mspublic.centris.ca/media.ashx?id=ADDD250D212E49CDD9A9304D11&t=pi&w=1024&h=1024&sm=c,Offices only,,"10,000 sqft",,Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/21281420?view=Summary,45.502241,-73.564211,https://mspublic.centris.ca/media.ashx?id=ADDD250D464220ED1CC98B7D1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/4plex~for-sale~ville-marie-montreal/13323802?view=Summary,45.491783,-73.578276,https://mspublic.centris.ca/media.ashx?id=ADDD250D214FEE1DD79C518D1D&t=pi&w=1024&h=1024&sm=c,Residential only,"1879, Historic",,,Residential (4),Attached,"2,383 sqft",Garage (1),"1 x 5 ½, 3 x 6 ½","6 rooms, 3 bedrooms, 3 bathrooms/powder rooms","$133,200",,,,,
https://www.centris.ca/en/commercial-units~for-rent~princeville/19797790?view=Summary&uc=2,46.16552328,-71.87671819,https://mspublic.centris.ca/media.ashx?id=ADDD250D47BA534D1451015D1A&t=pi&w=1024&h=1024&sm=c,Commercial only,1968,"3,490 sqft",,Commercial (1),,"18,435 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/21745730?view=Summary,45.501428,-73.558499,https://mspublic.centris.ca/media.ashx?id=ADDD250D46F182FD1C93DC4D1A&t=pi&w=1024&h=1024&sm=c,Commercial and residential,Unknown age,"1,574 sqft",,Commercial (1),,,,,,,,Massotherapy,,,
https://www.centris.ca/en/commercial-units~for-rent~verdun-ile-des-soeurs-montreal/19959399?view=Summary&uc=2,45.459381,-73.566972,https://mspublic.centris.ca/media.ashx?id=ADDD250D4310EF6D12DB5A0D1A&t=pi&w=1024&h=1024&sm=c,Offices only,", Being converted","3,500 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/15615941?view=Summary,45.50805619,-73.5710308,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DFA04BDD55C07ED1A&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~hull-gatineau/10342927?view=Summary&uc=2,45.465782,-75.737566,https://mspublic.centris.ca/media.ashx?id=ADDD250D47CA0B5DDF334D6D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"From 1,663 sqft to 17,585 sqft","1,667 sqft",Office (2),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/17367006?view=Summary,45.503558,-73.574869,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D39064D1DB6635D1D&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,"Bakery, Caterer, Convenience store, Grocery store, Fast food, Tobacco shop, Restaurant, Supermarket",,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/20368147?view=Summary,45.515489,-73.563876,https://mspublic.centris.ca/media.ashx?id=ADDD250D43F7828D12A7912D14&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1875,"1,932 sqft",966 sqft,"Residential (1), Commercial (1)",,"6,125 sqft",,,,,,Bar,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/24819196?view=Summary&uc=2,45.4994145,-73.5755625,https://mspublic.centris.ca/media.ashx?id=ADDD250D214FC49D1089E67D14&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,381 sqft",,Commercial (1),,,,,,,,Boutique,,,
https://www.centris.ca/en/industrial-units~for-rent~joliette/9798187?view=Summary&uc=2,46.00969144,-73.44778595,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D7F78DDDFEB449D1E&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,1974,"18,000 sqft","18,000 sqft",Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-rent~saint-patrice-de-sherrington/22845401?view=Summary&uc=2,45.16777433,-73.52465283,https://mspublic.centris.ca/media.ashx?id=ADDD250D463CE9FD1E7F03FD1C&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/26332332?view=Summary,45.51516879,-73.56380403,https://mspublic.centris.ca/media.ashx?id=ADDD250D4B645D4D1F17787D1A&t=pi&w=1024&h=1024&sm=c,Commercial and residential,"1900, Historic","From 5,636 sqft to 42,263 sqft",,"Residential (4), Commercial (4)",,"28,403 sqft",,,,,,Bar,,,
