,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
491,RANGE_INTERPOLATED,"4557 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",Ejk0NTU3IEF2ZW51ZSBkZSBsJ0VzcGxhbmFkZSwgTW9udHLDqWFsLCBRQyBIMlQgMlk2LCBDYW5hZGEiGxIZChQKEgk3bHqq1BvJTBGl1BdfSszmARDNIw,"4557 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5188567,-73.5891826,1,H2T 2Y6,OK,street_address
492,ROOFTOP,"4569 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJ85stVNMbyUwRaCD_Ab6tFoc,"4569 avenue de l' Esplanade  (MTL), Montreal,Canada",45.518915,-73.58931559999999,1,H2T 2Y6,OK,street_address
493,ROOFTOP,"4575 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJh1HOVdMbyUwR94712GFxRmU,"4575 avenue de l' Esplanade  (MTL), Montreal,Canada",45.518912,-73.58936969999999,1,H2T 2Y6,OK,street_address
494,ROOFTOP,"4581 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJjYkHVtMbyUwRvBQQHvPVfyI,"4581 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5189714,-73.5894625,1,H2T 2Y6,OK,street_address
495,ROOFTOP,"4587 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJS5AmVtMbyUwRK3LDnrNkwzQ,"4587 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5190917,-73.5893971,1,H2T 2Y6,OK,premise
496,ROOFTOP,"4593 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJceiNqdQbyUwRAWFovEv9B-w,"4593 avenue de l' Esplanade  (MTL), Montreal,Canada",45.51902519999999,-73.5896023,1,H2T 2Y6,OK,street_address
497,ROOFTOP,"4599 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJ68uEqdQbyUwRVf4cXyuXe5I,"4599 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5190348,-73.58964460000001,1,H2T 2Y6,OK,street_address
498,ROOFTOP,"4605 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJ_VoLqdQbyUwR4bF43q6qS-A,"4605 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5189953,-73.5898018,1,H2T 2Y6,OK,street_address
499,RANGE_INTERPOLATED,"4611 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",Ejk0NjExIEF2ZW51ZSBkZSBsJ0VzcGxhbmFkZSwgTW9udHLDqWFsLCBRQyBIMlQgMlk2LCBDYW5hZGEiGxIZChQKEgk3bHqq1BvJTBGl1BdfSszmARCDJA,"4611 avenue de l' Esplanade  (MTL), Montreal,Canada",45.519116,-73.5897662,1,H2T 2Y6,OK,street_address
500,ROOFTOP,"4623 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJZ0TkrtQbyUwRzI3EECjSxcA,"4623 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5191689,-73.5899486,1,H2T 2Y6,OK,street_address
501,ROOFTOP,"4641 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJE1gksNQbyUwR6HzSwSDkTOo,"4641 avenue de l' Esplanade  (MTL), Montreal,Canada",45.519281,-73.5902007,1,H2T 2Y6,OK,street_address
502,ROOFTOP,"4647 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",ChIJHwA8sNQbyUwRDYeJ4WSoZZo,"4647 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5192928,-73.5902332,1,H2T 2Y6,OK,street_address
503,RANGE_INTERPOLATED,"4659 Avenue de l'Esplanade, Montréal, QC H2T 2Y6, Canada",Ejk0NjU5IEF2ZW51ZSBkZSBsJ0VzcGxhbmFkZSwgTW9udHLDqWFsLCBRQyBIMlQgMlk2LCBDYW5hZGEiGxIZChQKEgk3bHqq1BvJTBGl1BdfSszmARCzJA,"4659 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5193958,-73.590396,1,H2T 2Y6,OK,street_address
504,RANGE_INTERPOLATED,"4815 Avenue de l'Esplanade, Montréal, QC H2T 2Y8, Canada",Ejk0ODE1IEF2ZW51ZSBkZSBsJ0VzcGxhbmFkZSwgTW9udHLDqWFsLCBRQyBIMlQgMlk4LCBDYW5hZGEiGxIZChQKEgkjSL_F1BvJTBHLn_jdPMzx9xDPJQ,"4815 avenue de l' Esplanade  (MTL), Montreal,Canada",45.519739,-73.5915411,1,H2T 2Y8,OK,street_address
505,RANGE_INTERPOLATED,"4821 Avenue de l'Esplanade, Montréal, QC H2T 2Y8, Canada",Ejk0ODIxIEF2ZW51ZSBkZSBsJ0VzcGxhbmFkZSwgTW9udHLDqWFsLCBRQyBIMlQgMlk4LCBDYW5hZGEiGxIZChQKEgljby7f1BvJTBEkJN9kqjrpIhDVJQ,"4821 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5198029,-73.591684,1,H2T 2Y8,OK,street_address
506,RANGE_INTERPOLATED,"4833 Avenue de l'Esplanade, Montréal, QC H2T 2Y8, Canada",Ejk0ODMzIEF2ZW51ZSBkZSBsJ0VzcGxhbmFkZSwgTW9udHLDqWFsLCBRQyBIMlQgMlk4LCBDYW5hZGEiGxIZChQKEgljby7f1BvJTBEkJN9kqjrpIhDhJQ,"4833 avenue de l' Esplanade  (MTL), Montreal,Canada",45.519998,-73.5917825,1,H2T 2Y8,OK,street_address
507,ROOFTOP,"4839 Avenue de l'Esplanade, Montréal, QC H2T 2Y8, Canada",ChIJTbaZ3tQbyUwR_hHzuH6qDU4,"4839 avenue de l' Esplanade  (MTL), Montreal,Canada",45.520017,-73.591867,1,H2T 2Y8,OK,street_address
508,ROOFTOP,"4845 Avenue de l'Esplanade, Montréal, QC H2T 2Y8, Canada",ChIJQa7-3tQbyUwRoG_H5U372kg,"4845 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5200797,-73.59197019999999,1,H2T 2Y8,OK,street_address
509,ROOFTOP,"4851 Avenue de l'Esplanade, Montréal, QC H2T 2Y8, Canada",ChIJf8xy39QbyUwRbPkhusX4nbA,"4851 avenue de l' Esplanade  (MTL), Montreal,Canada",45.5200835,-73.5920976,1,H2T 2Y8,OK,street_address
